Name,Lat,Long,Year,Num Stories,Num Parking,Description,Involvement,Photo1,Photo2,Photo3,Photo4,Photo5
The Diegan,32.7162,-117.16515,2021,39,5,,,,,,,
Quince,32.73845,-117.16444,2021,17,3,,,,,,,
